post_text,context,level,poi_name_ru
,"Лучшие друзья девушек - это💎💎💎

 ♥️Новый маникюр это всегда маленькая радость

 🌐 Пермь, ул. Екатерининская 116
💒 Жёлтое здание (напротив ТЦ Алмаз), главный вход, 1 этаж, 8 офис
⠀
💰Ознакомиться с ценами? Смотри окошко ""ПРАЙС"" в актуальном!
👩‍💻Записаться онлайн? Переходи по ссылке в шапке профиля!
⠀
🖤 Ежедневно с 10.00 до 22.00
📓По предварительной записи
☎️ 8(965) 568-14-19
📱 WhatsApp/Viber/VK/Direct/SMS
⠀
☕ Чай/кофе/конфетки
🔌 Зарядные для телефона
💎 Уходовая косметика
✨Модели нужны всегда
#маникюрцентр
#маникюрпермь
#ногтипермь #наращиваниеногтейпермь #покрытиегельлакпермь",уровень 2. утилитарность,Синагога
,,уровень 3. музей,Синагога
Путеводитель https://vk.cc/cia0XM,"Екатерининская ул., 116 (58.008119, 56.234707)
yandex.ru/maps/-/CCU...
Памятник градостроительства и архитектуры регионального значения. Синагога. Построена в 1903 году.

 Здание возвели на деньги еврейской общины в 1903 году, хотя иудейский молитвенный дом появился в Перми еще в 1869 году. В 1930-е годы еврейскую общину закрыли, но в 1947 году она воссоздается.
В 1929 году здание передали театру ТРАМ.
Потом в здании по улице Екатерининской находился президиум Пермского научного центра АН СССР и ордена Октябрьской революции Институт технической химии Уральского отделения Российской Академии наук.
В 1991 году здание было возвращено общине.
yandex.ru/maps/-/CCU...",уровень 3. музей,Синагога
,,уровень 4*. жизнь общины ,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,"Большое разнообразие в KOLIBRI 🔥

 Пуховики на любой вкус 🩷
Ждем вас у нас в гостях",уровень 2. утилитарность,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,"(Заказ микроавтобуса Пермь, край, РФ)",уровень 0. урбанистический фон,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 2. утилитарность,Синагога
,-,уровень 3. музей,ФЕОР
,"👋🏽Привет, красотки
👖Сегодня ещё один день акции две пары джинс за 1990₽
🍁Новинки уже в шоуруме
😉Ждём вас с 12:00 до 19:00
📍Пермь, Екатерининская, 116, офис 8",уровень 2. утилитарность,Синагога
,,уровень 4*. жизнь общины ,Синагога
,"Весна в Меркурий приходит еженедельно 🫶
Новая коллекция ждет вас!

 ✅скидки подписчикам

 Модели @massazhistelvira Наталья Шалимова",уровень 1. маскировка,Синагога
,"Мику Хатсуне
Ответцветëт сакура
#мику #микухатсуне #сакура #мейдзи #косплей #аниме",уровень 1. маскировка,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 0. урбанистический фон,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,-,уровень 0. урбанистический фон,Синагога
,"Большое разнообразие в KOLIBRI 🔥

 Пуховики на любой вкус 🩷
Ждем вас у нас в гостях",уровень 2. утилитарность,Синагога
,,уровень 3. музей,Синагога
Описание https://vk.com/wall-216919326_98,,уровень 3. музей,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 1. маскировка,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,"Для комфортного размещения шлема виртуальной реальности нами разработана стойка для презентаций.
Высота 150 см. Изменяется по запросу заказчика.
Кронштейн для монитора до 27 дюймов.
Крепление под очки. Манекен головы цвет черный.
Крепление под контроллеры.
Площадки под удлинитель. Все провода можно закрепить по заднему профилю стойки.
 Для размещения подобной стойки рядом с ней понадобиться пространство 1,5х1,5 метра для погружения в виртуальную реальность.
Стойка компактная и разборная можно использовать на выездных мероприятиях, собирается за 5 минут, конструкция устойчивая, вес 12 кг.
Мы делаем экспозиции в виртуальной реальности под ключ, можно приобретать, как отдельно стойки под ваши проекты, либо полностью готовый комплекс с шлемом виртуальной реальности, монитором и всеми сопровождающими проводами.

 #vrmuse",уровень 2. утилитарность,Синагога
,"Типография губернская земская , год постройки 1909.
Памятник градостроительства и архитектуры регионального значения.
Построено в стиле модерн.
#прогулкипоперми #пермь #пермскийкрай #лето #модерн #архитектурамодерн #архитектура",уровень 3. музей,ФЕОР
,,уровень 4*. жизнь общины ,ФЕОР
,-,уровень 1. маскировка,Синагога
,Экскурсия в синагогу. Рав-Реувен спасибо за приглашение.,уровень 3. музей,Синагога
,,уровень 1. маскировка,Синагога
,"Типография губернская земская , год постройки 1909.
Памятник градостроительства и архитектуры регионального значения.
Построено в стиле модерн.
#прогулкипоперми #пермь #пермскийкрай #лето #модерн #архитектурамодерн #архитектура",уровень 3. музей,ФЕОР
,"📖Автобусная экскурсия ""ГОРОД РАЗНЫХ КОНФЕССИЙ"" 19.05.2024г",уровень 3. музей,Синагога
,,уровень 1. маскировка,Синагога
,,уровень 1. маскировка,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,Синагога
,Немного с последних сьемок #свадьбы,уровень 1. маскировка,Синагога
,,уровень 4*. жизнь общины ,ФЕОР
,,уровень 4*. жизнь общины ,Синагога
