image_url,уровень восприятия,объект,категория,image,annotation_text_description,annotation_user_intent,annotation_has_feor,первичный сюжет,,
"https://sun9-33.userapi.com/s/v1/if2/rnhSJ1xngG1wBb7rVEiCjseYCuWM30kNK3-xUI88TCXkhg-pXqEjUn6Dek0vRV4fCPtWBD_NJif3sBM1BwQSYiwP.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1920x1440&from=bu&cs=1920x0",уровень 0. урбанистический фон,ФЕОР снаружи,Урбанистический фон,,"Ночная городская улица: приближающийся автомобиль с яркими бликами фар, мокрый асфальт и снег вдоль обочины",задокументировать городскую сцену,yes,фон городской жизни,,
"https://sun9-56.userapi.com/s/v1/if2/h9LBHKJ_WszmRV9rgMfIR-HL-zFjHarL2HDh-5FcQzHwJOCT5vJWLg5z01zgwFfk3cnl0RG4wcsqsmGT6L2vNke0.jpg?quality=96&as=32x15,48x22,72x34,108x50,160x75,240x112,360x168,480x224,540x252,640x299,720x337,1080x505,1280x598,1440x673,1600x748&from=bu&cs=1600x0",уровень 0. урбанистический фон,ФЕОР снаружи,Урбанистический фон,,Грузовик-крано-установка на городской улице; слева видна часть здания и листья на деревьях над дорогой.,показать строительную технику,yes,фон городской жизни,,
"https://sun9-84.userapi.com/s/v1/ig2/t0btzbtYSn2tW7jwSl1mnxndd1xax4Ss5YdSAoVtE_43IMUDnwkSE0DQsk6olNkKatxLktXedjT-9cTl0aMGyMBx.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",уровень 0. урбанистический фон,ФЕОР снаружи,Урбанистический фон,,Белый микроавтобус на тротуаре возле городского здания; на заднем плане видны высотные здания.,показать городской транспорт на улице,yes,фон городской жизни,,
"https://sun9-15.userapi.com/s/v1/if2/hFDo42nxwxqjuqvxNVMCBYUMdKs4ZROmU4up-E6FWNXQWVpzyCYP5F8BMJjwW7YtYYNiJECK6Atevi3trrGaT3nX.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,854x640&from=bu&cs=854x0",уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,"Автобус на снеговой улице, вокруг собираются люди; позади видны стеклянные высотки/здания.",показать автобус на городской улице,yes,фон городской жизни,,
"https://sun9-56.userapi.com/s/v1/ig2/CQZp15wpLLaCBEDAgbBLJa0lByGjRpTbyjH218BdivsxwZY3l7EESNXQ1MPIWT9I0Qv1VREfJBsSNwgNSLsiFZVA.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0",уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,"Жёлтый кабриолет на городской улице; впереди тротуар, дороги и фасады зданий, номерной знак автомобиля виден",показать автомобиль на городской улице,yes,,,
"https://sun9-35.userapi.com/s/v1/ig1/Ca-K1tuzFJW7V4fkd-QihjNH_7-J776b6lTPPXQY6diTKYvuM1hjs9ijSb6MYimmP2ARrekl.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1000x1333&from=bu&cs=1000x0",уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,"Человек в камуфляжной куртке сидит на офисном кресле в открытом грузовом прицепе, внутри которого лежат и стоят стулья, шкаф, стол, растения и другие предметы мебели.","показать сцену с человеком и грузовиком, набитым мебелью",yes,,,
"https://sun9-78.userapi.com/s/v1/ig2/zoFVj79BipVvIapNp5fsIy6qz34PGkQQlscbuSCIIQr94-UGIRFmbqGvsCPLbbp5UgZ6c7mK8rqVVJZIjtHt6ibu.jpg?quality=95&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280,1080x1920,1280x2276,1440x2560&from=bu&cs=1440x0",уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,Человек на переднем плане делает селфи; на фоне видны городские здания и небо,сделать селфи,yes,,,
"https://sun9-78.userapi.com/s/v1/ig1/6VD-agvIsIbjKdU-0R6ptjAaV4FB7sVVGTr7ngZC9nFNgAf5BaTcUWlyuIzOm8vWIURACl3k.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,768x1024&from=bu&cs=768x0",уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,"Высокое здание с куполообразной верхушкой на городской улице, рядом стоят автомобили и пешеходы; на фоне небо ясно-голубое.",показать здание,yes,,,
"https://sun9-69.userapi.com/s/v1/if2/wSMqfG4Y0NzyhkATZN4F4K9vrvyjdIsjza_qEtGl0sefEauoLrpDo20D1HeZylicKB6jdvFg3LN7iazAlhQ-EDN5.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&cs=1280x0",уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,"Городской пейзаж сверху: множество многоэтажек с снежными крышами, улицы и переулки между домами, горизонт вдалеке",показать городской пейзаж сверху зимой,yes,,,
"https://sun9-2.userapi.com/s/v1/ig1/jv0dzW0-qU9CplXcNO_5h_bkQmGYKR8P103M8ImqwlUsQw3aw2o31xkmPe5yw6AG8TQG9g.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280,1080x1920,1215x2160&from=bu&cs=1215x0",уровень 0. урбанистический фон,синагога снаружи,Урбанистический фон,,Высокое здание с башенно-куполообразной вершиной на городской улице; перед ним тротуар и прохожие; на первом плане витрины и вывески магазинов.,задокументировать городскую сцену,yes,,,
