image_url,annotation_text_description,annotation_user_intent,annotation_has_feor,annotation_has_synagogue
"https://sun9-82.userapi.com/s/v1/ig1/EeOdHg7Z3Mns2qWiscfz4xzeKykALU5g4ob875hcPy9oIE-Od5Shp2mc6Ec_AwWvuqEVIxX_.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0","Стеклянный фасад с шестиугольной плиткой, отражающие деревья и небо; внизу виден логотип 'SOTA'",показать здание/архитектуру,False,False
"https://sun9-64.userapi.com/s/v1/if2/Ppnh5Ix7GGJNj5vjpzHWrCu2ulysscDX00NAcct3X7_Z5YzxwY_G_TujKo1RlS6Sh_e2cihQKx8iKxZtxoaoaqSl.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Два человека на снегу во дворе, улыбаются и позируют перед камерой. На заднем плане детская площадка с качелями и дома. Яркий зимний день, люди в шапках и пуховиках.",сделать селфи,False,False
"https://sun9-3.userapi.com/s/v1/ig2/v9B0oNXkJH9xGdzE9rOr4XSKQ8m1pnrsVVlhTsO3qVPtaCk-pAVSo57qjwUgCi_ULpfEDkCqp4EQX8kB3RjMgqGi.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0",Осенняя уличная сцена: на переднем плане висит ярко-оранжевый тыквенный фонарик (Хэллоуин) между зелёными листьями; на фоне видна белая машина и фасад здания.,показать уличное украшение на растении на фоне города,False,False
"https://sun9-75.userapi.com/s/v1/ig2/EwwRvaVvlih5tyedqlKzch0CCQDrmWBmk4ZXu1QGJU4cWNmQB7o7A6V79SaheF0ycDUPbFimjrnLFQAdTikV3Dss.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0","Стеклянный фасад здания с читаемой надписью; на переднем плане двое мужчин на лестнице работают над вывеской витрины, вокруг отражаются автомобили и жилые дома.",показать процесс установки вывески на витрине,False,False
"https://sun9-86.userapi.com/s/v1/if2/SHXbvy_2f1co9NxUOWt9S8ctp8Lz3l7wjJIsLiHLY9GNbAhX8V8f26jFVXMwWUfN9BmLU4bxB8m3IkfURdGG_gh4.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Фасад здания с магазинами на первом этаже, на фасаде видны вывески; перед входами стоят люди, вокруг газон и кустарники.",задокументировать городскую сцену,False,False
"https://sun9-18.userapi.com/s/v1/ig2/Mhcd314YjNXwVXNpUn5vR1S0FMMs_GRc3Zu42FE_2H1RsJpSdO3x6T310vRdg6Fku01VxiujJcwQhmdBLxn-K2ou.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1104x1472&from=bu&cs=1104x0",Ночная улица: ярко освещенная архитектурная конструкция с неоновыми вывесками на фоне темного неба.,показать неоновую вывеску на ночной улице,False,False
"https://sun9-66.userapi.com/s/v1/ig1/WssSFK4P99Ckhn8csK8gTS9Rsm0IzsYeySo_0dm0EgSyZkZf-Xo5gjb_OtCtFSsw_NCrvMdi.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,780x1040&from=bu&cs=780x0","Ребенок в темной куртке и шапке, на лице разноцветная краска; позирует возле витрины магазина на улице; стоит на ступенях перед зданием.",сделать портрет ребенка,False,False
"https://sun9-74.userapi.com/s/v1/if2/3gvXE2RuuyC_csFJRcNxXPuMEgD9S4BOjqu5crPHCfaSk5OM31kMVg9Lpts19Mi3yUV_qw2lwlMaEWaV4dpuCkk7.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1600x1200&from=bu&cs=1600x0","Группа из пяти человек позирует перед ночным городским фасадом с яркой неоновой вывеской; улица освещена фонарями, на заднем плане видны деревья и здание.",сделать групповое фото,False,False
"https://sun9-79.userapi.com/s/v1/ig1/8KYOgR0VtqSVkeBbZDJFEyn8I95fJVnvs339m46-fKmi14enHGUgpzbGK_6GGiq8XAA8rqAF.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,719x960&from=bu&cs=719x0","Два мальчика на уличной территории, один держит телефон; позируют/смотрят на экран; на заднем плане многоэтажный жилой дом, деревья и цветущая зелень вдоль тротуара",показать двух детей на улице,False,False
"https://sun9-70.userapi.com/s/v1/if2/ba3JiFawK4BYrlv9c3IfuY-cxAbQbA_ihgphJu-3NPxIAwtH4zIWRCRYQtN_CiYD4MDl_EJLBhwLJF4DvMeeQnN9.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&cs=1280x0","Желтое здание с магазинами на первом этаже; витрины и вывески над входами, мокрый тротуар, ветка, упавшая на землю, белый забор перед газоном",показать фасад здания с магазинами на улице,False,False
"https://sun9-75.userapi.com/s/v1/if2/aQPcU-13HSVVWF4giHkmozXQ2dIaz6s_VyB8pzLdtyPNdOF5u7tXIaHcD27Mp_PLe-Q6wKfhTVOuBa2bTghmrQN6.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1920x1440&from=bu&cs=1920x0",Черно-рыжевая собака на поводке стоит среди желтых осенних листьев на лужайке; на фоне видны дома.,показать собаку на прогулке,False,False
