image_url,annotation_text_description,annotation_user_intent,annotation_has_feor
"https://sun9-56.userapi.com/s/v1/ig2/mYXqG_rdMUobLxSX5z1_SZC7lso8edcwUw3vW4qUmUb79pTLBQlOrPr_oOYasTajBVCOA-v-g5u7hbY3W6B3oMzr.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0","Две девушки за столом в помещении занимаются живописью; перед ними яркие холсты и палитры с красками, кисти; на столе чашки, тарелка с закусками; в углу гитара; окно и радиатор на фоне.",показать процесс рисования двумя девушками за столом,False
"https://sun9-25.userapi.com/s/v1/if1/c51oGCcNukuPfvV8xB9GUO2Ioh2XFg4iwAJ9iERZCSrDIA1QG31LrZ53wso0QDUS-VnZmAyr.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Группа людей сидит за столами в помещении класса; на стене яркая вывеска SMART, окна с цветными занавесками. Люди делают заметки и обсуждают материал.",задокументировать учебную сцену,False
"https://sun9-48.userapi.com/s/v1/ig2/MJm9hW60j4XJv5z0fyiCz_um9PFt8kEU359Ouo9HQdt8gvkIHCsHuTGa3tJcqSnLj1wGaXLWD1EqsrD6TbN6BO06.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Сервировка стола: свечи на круглой золотистой подставке, блюда и бокалы на темном столе, передний план — тарелка с салатом, зелень в центре композиции",показать сервировку стола и еду,False
"https://sun9-2.userapi.com/s/v1/if2/fpnm3D5JKkG_5yAPDgf_hxE3uEvkjV-X4X9Tvf6PxGoQhbGz6pM9t2G6C-SFNsIPUF-6JUZq4Pi_OY2jHoOFRdU2.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1920x1440&from=bu&cs=1920x0","Группа людей на открытой площадке перед зданием; все улыбаются и поднимают руки, создавая радостную композицию. Перед ними на земле расположено круглое кострище с пеплом.",провести групповую фотосессию на улице,False
"https://sun9-52.userapi.com/s/v1/ig2/leCcCHwGEfV_IaXiTIymTrygpIWzqrPpqslk6VyQX-y5JOOiLTIqmOSzMVCUNLhmwa6VtCWoMW9w2Gw2zxbhxQtN.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Группа девушек вокруг стола в помещении; на столе разложены карточки, возможно игра или занятие; ярко-окрашенные стены желто-оранжевого цвета на заднем плане.",показать группу людей за столом во время карточной активности,False
"https://sun9-88.userapi.com/s/v1/ig2/JSc36_KxJlKVAd3greVcqTfrkeQS-yAUn0kA3S4DMi0tIOtqY72hQSggVXXfP16cV2QZI3eQa_-_6aE9fWUQRcsR.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Три женщины стоят на улице, позируют перед камерой; на заднем плане видны здания и улица.",позирование группы на улице,False
"https://sun9-21.userapi.com/s/v1/ig1/XmlBorLxoDHv2DyvFr9BbIz4GenckapIKg6YHnKZR3iMUZxlycuBizSth0GNlW6K5HdptrJ2.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Письменный диплом на градиентном фоне: верх голубой, низ розовый, тексты и логотипы, подпись",показать диплом победителя,False
"https://sun9-52.userapi.com/s/v1/if1/4PLgT12MDpjlwKARA8th9pNzjZ8pyKXCxdZ6PRAnFfapIcKq-a6VKcFCLNfV1yrmQL5q1Q.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Задняя часть автомобиля на снегу ночью, припаркован на городской улице",показать автомобиль на парковке ночью,False
"https://sun9-65.userapi.com/s/v1/ig2/f4Oj5ulerXsKqoYVrN5KcygCHnKIyPgT_H7wgeheXH5nKMzLt5Y-EqUMJ3r-9oWYCP5Any7mA0v5XTYBNaz-wVxS.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Девочка в школьной форме возле стола с блюдами; интерьер комнаты, сервировка стола",показать сервировку стола на школьном мероприятии,False
"https://sun9-49.userapi.com/s/v1/ig2/D6LNmIUU8yMLBZwssgZyPn5ccS6luIzeebA4lD69P7v6QMDJKd-dnoPLYSdZz6Z4pLFZNvSZ9koWeF4GxJUsRu_c.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0","Два мужчины в помещении: один держит голову другого, как будто выполняется стрижка или укладка. На столе лежат телефон и открытая желтая книга; в фоне зеркало и ярко-жёлтая стена.",показать процесс стрижки волос,False
"https://sun9-23.userapi.com/s/v1/if1/WRfm72MTdsaCXa3h1__i3JTXbSgcelYhF8QgcyEb5xS5mUt7wrmgKt8mejPRqVURBEeQ-mKi.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x119,240x179,360x269,480x359,540x403,640x478,720x538,1080x807,1280x956,1296x968&from=bu&cs=1296x0","Две девочки сидят в школьном классе за партами и заняты рисованием/записью на бумаге; передний план — одна в полосатой футболке, другая в зелёном худи.",показать двух детей за занятием рисованием в классе,False
