location,location_normalized,username,date,rating,text,text_en,business_response,source,filename
Khabar Lyubavich Or Avner,Or Avner Khabad,Нахэм Вагнэр,2022-07-02,5,"Очень хорошее место, рекомендую.",,,2GIS,2gis-khabar-2.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Михаил Мясников,2022-11-02,3,"И храм, и бизнес

В 1870-е годы на улице Екатерининской, 116 уже находился деревянный молельный дом еврейской общины. В 1912 году Городской Управой был рассмотрен и одобрен проект на постройку, взамен деревянного, каменного здания синагоги. Один из вариантов проекта составлен чертежно-строительным бюро В.Е. Гладких, другой проект, соответствующий построенному зданию, не подписан. Здание синагоги двухэтажное, вытянуто вглубь участка. Главный фасад состоит из двух частей: основной, имеющей в свою очередь трехчастное деление – центр со щипцом и два фланкирующих ризалита, и пониженного объема с лестничной клеткой, расположенного в восточной части фасада. Купола, когда-то венчавшие ризалиты, утрачены. При внешней простоте, здание производит впечатление строгой торжественности. В ноябре 1929 года синагога была закрыта, а здание передано Пермскому Театру Рабочей Молодёжи. Позже здесь размещались различные организации, такие как Энергосбыт, Пермский научный центр УрО АН СССР и др. В 1993 г. здание возвращено верующим. Правда, часть помещений сдается в аренду коммерческим организациям.
Передний фасад синагоги неплохо отремонтирован, всё прилично, но со двора здание выглядит удручающе. Если не знать, что это религиозное сооружение, можно подумать, что это какой-то полузаброшенный склад.
Нехорошо это, не по-божески...",,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Ульяна Заря,2019-11-03,5,"I visited the synagogue by chance. The staff were very friendly and offered matzah. They gave me a short tour. There was no pomp, just simple and welcoming.",,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Вероника Субботина,2019-11-03,5,"I was with a tour guide. They told me a lot about the Jewish faith, its history, their customs and holidays, about fasts, now they live in 5780, they have a different calendar of life, and the book of the Jews is called Tori and it is read from back to front.",,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Владимир Бабенко,2021-11-02,5,There is a great crayfish factory nearby. I haven't been to the synagogue.,,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Леонид Клейнер,2020-11-02,5,A holy place! People are always separated from God only by a covered head.,,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Евгений Шутов,2017-11-03,5,An ascetically beautiful old building.,,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Roma Ian M. Seltser-Selskii,2020-11-02,5,Friendly,,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Alex Tretyakov,2017-11-03,5,Top-notch Synagogue!!! I recommend it to everyone!!!,,,Google Maps,google-synagogue.html
Tsentral'naya Permskaya Sinagoga,Tsentral'naya Permskaya Sinagoga,Юрий Семенов,2021-11-02,3,🤐 …,,,Google Maps,google-synagogue.html
ProBeauty,ProBeauty,Тая Шитоева,2022-12-25,5,"Замечательное место. Ухожу довольной, спасибо Татьяне за её труд. Рекомендую",,,2GIS,2gis-probeauty.html
Иудейское религиозное общество,Tsentral'naya Permskaya Sinagoga,Mikhail Myasnikov,2022-10-15,3,"И храм, и бизнес

В 1870-е годы на улице Екатерининской, 116 уже находился деревянный молельный дом еврейской общины. В 1912 году Городской Управой был рассмотрен и одобрен проект на постройку, взамен деревянного, каменного здания синагоги. Один из вариантов проекта составлен чертежно-строительным бюро В.Е. Гладких, другой проект, соответствующий построенному зданию, не подписан. Здание синагоги двухэтажное, вытянуто вглубь участка. Главный фасад состоит из двух частей: основной, имеющей в свою очередь трехчастное деление – центр со щипцом и два фланкирующих ризалита, и пониженного объема с лестничной клеткой, расположенного в восточной части фасада. Купола, когда-то венчавшие ризалиты, утрачены. При внешней простоте, здание производит впечатление строгой торжественности. В ноябре 1929 года синагога была закрыта, а здание передано Пермскому Театру Рабочей Молодёжи. Позже здесь размещались различные организации, такие как Энергосбыт, Пермский научный центр УрО АН СССР и др. В 1993 г. здание возвращено верующим. Правда, часть помещений сдается в аренду коммерческим организациям.
Передний фасад синагоги неплохо отремонтирован, всё прилично, но со двора здание выглядит удручающе. Если не знать, что это религиозное сооружение, можно подумать, что это какой-то полузаброшенный склад.
Нехорошо это, не по-божески...",,,2GIS,2gis-synagogue-2.html
"Khabar Lyubavich Or Avner, Yevreyskiy Obshchinnyy Tsentr",Or Avner Khabad,Levi Deutch,2020-11-02,5,Хорошие люди с доброй душой,,,Google Maps,google-khabar.html
"Khabar Lyubavich Or Avner, Yevreyskiy Obshchinnyy Tsentr",Or Avner Khabad,Никита Колесников,2021-11-02,5,best place.,,,Google Maps,google-khabar.html
"Khabar Lyubavich Or Avner, Yevreyskiy Obshchinnyy Tsentr",Or Avner Khabad,Zalman Deutch,2020-11-02,5,Помогают,,,Google Maps,google-khabar.html
Twins,Twins,Светлана Бельмас,2025-02-15,5,"Очень вежливый персонал, высокое качество, всё четко по расписанию, удобные коеслла, место в центре города. Рекомендую.",,,2GIS,2gis-twins.html
Twins,Twins,Анастасия Салтыкова,2024-04-27,5,"Очень хороший салон. Чудесные администраторы, мастера все профессионалы своего дела. Комфортные кресла, лежать очень удобно. Советую всем !!",,,2GIS,2gis-twins.html
Twins,Twins,Яна Семенцова,2024-04-23,5,"Все очень понравилось, персонал 5/5, ресницы получились очень аккуратными, я в восторге! Вернусь еще!",,,2GIS,2gis-twins.html
Twins,Twins,Роман Брагин,2023-08-09,5,"Сходил на брови , все устроило впринципе, приняли с приветливо , даже тапки купили и конфетами накормили",,,2GIS,2gis-twins.html
Twins,Twins,Мария Юсуфкулова,2023-07-31,5,"Не первый год наращиваю ресницы,качество и скорость на высоте!!! Посоветовала многим друзьям и клиентам",,,2GIS,2gis-twins.html
Twins,Twins,Ольга Козырева,2022-09-11,5,"Отличные специалисты!!!
Ресницы держатся 1,5 месяца и это не предел!!!👍",,,2GIS,2gis-twins.html
Twins,Twins,Anna Klabukova,2022-04-23,5,"Качественно, отличный подход к клиенту, приятные мастера, реснички держатся долго!",,,2GIS,2gis-twins.html
Twins,Twins,Яна Северухина,2021-12-27,5,"Хороший салон. Уютная и комфортная атмосфера, компетентные мастера. Рекомендую!",,,2GIS,2gis-twins.html
Twins,Twins,Алёна Накоскина,2021-12-21,5,"Все нравится,: работа мастера(делают то, что просишь, ручки у мастера нежные), уютно, чисто, клиентоориентированность полная. Хожу с удовольствием.",,,2GIS,2gis-twins.html
Twins,Twins,Нелли Черепанова,2021-12-04,5,"Наращивала ресницы у Анастасии, сделала отлично! Салон приятный, вежливый администратор!",,,2GIS,2gis-twins.html
Twins,Twins,Юлия Семенова,2021-07-10,5,Классно и быстро нарастили реснички по доступной цене=),,,2GIS,2gis-twins.html
Twins,Twins,Юля Патракова,2021-06-18,5,"Доброго дня !)
Благодарю салон Twins и мастера Эльвиру за качественно проделанную работу !))",,,2GIS,2gis-twins.html
Twins,Twins,Елена Микрюкова,2021-06-16,5,Отличный салон и самый лучший мастер по ресничкам Эля❤️ только к ней и только сюда❤️,,,2GIS,2gis-twins.html
Twins,Twins,Ольга Черепанова,2021-06-13,5,"Спасибо большое, получилось очень красиво! Все супер! Рекомендую всем.",,,2GIS,2gis-twins.html
Twins,Twins,Светлана Успенская,2021-05-21,5,Отличный подход к клиенту. Профессионализм на высоте!,,,2GIS,2gis-twins.html
Twins,Twins,Ольга Годзула,2020-09-15,5,"Добрый день!
Реснички делаю только здесь!
Работают профессионалы. Отзывчивые и понимающие. Всем советую!!!",,,2GIS,2gis-twins.html
Twins,Twins,Оксана Заитова,2020-08-02,5,Девочки настоящие профессионалы. Я пользуюсь их услугами много лет. Очень комфортный салон и всегда тёплый приём.,,,2GIS,2gis-twins.html
Twins,Twins,Татьяна Борцова,2020-07-26,5,"Отличный салон, всё очень понравилось!!! Очень уютно и душевно) Приятный отдых с пользой для себя.",,,2GIS,2gis-twins.html
Twins,Twins,Надежда Машкова,2020-07-24,5,Всё очень понравилось. Девочки все очень приветливые. Мне очень понравилось их шикарное кресло. Приду обязательно попробовать их услугу в 6 рук.,,,2GIS,2gis-twins.html
Twins,Twins,Лана Лана,2020-03-05,5,Делаю свои прекрасные реснички только здесь!!! Отличное качество!,,,2GIS,2gis-twins.html
PokeRamen,PokeRamen,Anil Kocak,2025-08-03,5,"The most delicious Ramen i have ever tried. Every single ingredient; duck, pickles, mushrooms, eggs also the broth were very tasty.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Лиза,a month ago,5,"A wide selection of dishes. The portions are always large.

The dishes include a lot of fish. The waiters are polite, as is the entire staff. I recommend it! I think everyone will love it!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Светлана Мерзлякова,2025-08-03,2,"I love kimchi, I order here together with sushi, they promised delivery in an hour or less, in the end I waited more than an hour and a half. I understand, if the order was made on Friday or on the weekend, it would still be understandable, but on weekdays it’s somehow too much. If there are any delays, you can call and warn.",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Оля Школина,2022-11-02,5,"Very tasty. Excellent poke with tuna and salmon (I liked it even better with it). All the ingredients are fresh, the avocado was a little hard, but everything else was 5. Delicious fruit tea, very nice surroundings to match the atmosphere …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Михаил Мясников,2025-08-03,4,"Asia in the Perm courtyard.
I'll tell you honestly - I've passed by a hundred times, and a hundred times I didn't bother to turn my head into the courtyard of house 33 on Kuibyshev. And it …",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Artemida Poll,a year ago,5,"We were lucky, we got inside very quickly. The food is very tasty and the portion is so big you can eat it. Very atmospheric place, we will definitely come back!",,,Google Maps,google-poke.html
PokeRamen,PokeRamen,Кирилл Мясников,2024-12-06,5,"I picked it up from Solovyov, atmospheric place, cool friendly staff, left charged with positive, the soup did not disappoint, hot and filling, just right in such weather!))",,,Google Maps,google-poke.html
