image_url,annotation_text_description,annotation_user_intent,annotation_has_synagogue
"https://sun9-38.userapi.com/s/v1/ig1/_2oHPyjLXx4Ck6KcyAWVUf7YOipzbMIccy9R9Zw5zV2za4Ng3lfnarvUX6cZ3AXlq9lHJLZ0.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1000x1333&from=bu&cs=1000x0",Уличный рекламный стенд на тротуаре возле угла здания; видны фасад и окно.,показать рекламный стенд на улице,False
"https://sun9-66.userapi.com/s/v1/ig2/Ae9PKQwjXN-Ugy5nNfCnJpT7Y2E4UUkyNPhrDCaHmQhXJE4R49PZulmzFXG_wf-K2beDtOClEN4ClPtVgTPBSPT6.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0",Женщина в голубом платье в горошек позирует на улице на фоне современной стеклянной стены и растений,показать наряд/платье на улице,False
"https://sun9-6.userapi.com/s/v1/ig2/oq-goTVEt8aRBE2toGyg9TGvDUOdIBDBV2GmGZXTWez11D3g9_mEw940Ly719wO0qZHVhpj5VjtlEpKVFE2ztwar.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0","Женщина сидит за стеклянным столиком на улице, вокруг ротанговые кресла; на фоне витрина магазина и фасад здания.","портрет человека на улице, сидящего за столиком",False
"https://sun9-85.userapi.com/s/v1/if2/PO0NlqqjlyEdmyQJzxAjmN5PGsgCTBxFvLx52hOPz1rMSOpNZIVHlkL3A_1rWhrmc1cPM6v94i6nedUo59AeENiV.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,1920x1440&from=bu&cs=1920x0","Уличное зимнее фото: справа мужчина в синей куртке с капюшоном, слева ярко-оранжевый костюм зверька с большими глазами, на снегу; на заднем плане дорога, здания и прохожие.",задокументировать уличную сцену с костюмированным персонажем,False
"https://sun9-79.userapi.com/s/v1/ig2/9zcTzVGq-QhOAU5W92imIDImLmoESTxXooxxaoeKFAmwpUCgKZsAhXnQgwUYyfPhlhxkPubhP6mDQgJg1Arbrbti.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1398x1864&from=bu&cs=1398x0","Женщина позирует на улице перед светлой стеной: ярко-желтый топ, черная юбка-миди с разрезом и пояс, поверх — черное пальто; солнцезащитные очки, в руках пластиковый стакан.",показать стиль одежды и образ на улице,False
"https://sun9-79.userapi.com/s/v1/ig2/vYxFvM5sJoe_Xd2Nq-ApRYMGCL1eof7uTINtkGHt4owW4WmnhQdZhXF-S86pyL5zPkXBFRh1P-U6hAPYe3ztBMjQ.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0","Женщина в бежевом пальто, белом свитере и голубых широких брюках стоит на открытой парковочной площадке под балками, держит белую сумку.",показать одежду,False
"https://sun9-51.userapi.com/s/v1/ig2/HouSP07-Nxli4Vr7PQJVQ3hM5jMXNDs0YiOE_-vntxcbOxO0d7vKS7Vp5rEiP_ActhauX9DiiGuKg_EUD6cke64L.jpg?quality=96&as=32x54,48x81,72x121,108x182,160x269,240x404,360x606,480x807,540x908,640x1077,720x1211,1080x1817,1280x2153,1284x2160&from=bu&cs=1284x0",Женщина в длинном сером пальто и солнцезащитных очках стоит на открытой парковке под эстакадой.,показать одежду,False
"https://sun9-81.userapi.com/s/v1/ig1/r8VtLqTNxntEXQV90Wr80rHd-vrYcfrMJMSiOz8s6C6G-DWS2JWtqRdkfqtvhQnPjFgKEYX6.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x426,360x639,480x851,540x958,640x1135,720x1277,920x1632&from=bu&cs=920x0",Бабушка в розовой куртке держит младенца на улице; позади — автомобиль и здание с вывеской,показать семейную сцену,False
"https://sun9-78.userapi.com/s/v1/ig2/9ysFiNCdx_s4VU8a1kTo6gmrF5bHSEUBVBLWT1ou2BeprfaGtf2Abpp_HQg-IxWRu9-2kIg9Y9nDArlsDtROBsHR.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0","Женщина в клетчатом плаще стоит на городском тротуаре возле витрины магазина у кирпичной стены, кадр полный рост.",показать одежду,False
"https://sun9-11.userapi.com/s/v1/if1/MV2HGB6EX3ETNHYcbz1CdGo5nS1TKsTqoW3SWrjpFkAwXN2WUWKceJs55-6klWnpUw5Ij8Du.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x359,540x404,640x479,720x539,960x719&from=bu&cs=960x0","Грузовик с краном на улице возле входа в здание, группа людей стоит рядом; справа припарковано авто.",задокументировать городскую сцену,False
