image_url,annotation_text_description,annotation_user_intent,annotation_has_synagogue
"https://sun9-74.userapi.com/s/v1/ig1/gvVEyg8-ow1pjxpYkRQ70j-Qjruv8yawTrJTjjoZXnfeuj3alDcvTScmleET13LWCxQ2oQ.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x426,360x640,480x853,540x959,640x1137,712x1265&from=bu&cs=712x0",Маленькая девочка в цветочном платье сидит на ярком детском кресле в игровой комнате. На стене красочная мультяшная сцена с животными; вокруг — цветные маты и игрушки.,показать ребенка в игровой комнате,False
"https://sun9-45.userapi.com/s/v1/if1/fYn4rjBicqlB9Y3OkMqd87zVGBKKUpT--ZVO7fTZ301cFNkDhskwDhcWDb2kL-nsLZR9eg.jpg?quality=96&as=32x18,48x27,72x41,108x61,160x90,240x135,360x203,480x270,540x304,640x360,720x405,1080x608,1265x712&from=bu&cs=1265x0","Маленькая девочка в ярком платье стоит на детской игровой площадке внутри помещения, улыбается; вокруг разноцветные игровые элементы и стенды.",показать ребенка в игровой зоне внутри помещения,False
"https://sun9-10.userapi.com/s/v1/ig1/48Tcwkad4e8uSMeWrL5my7RwwEynKtV_hWqGwfeAWBa215b3iqj8vCg_0eJgp-9jR0Z5Yw.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x426,360x640,480x853,540x959,640x1137,712x1265&from=bu&cs=712x0","Ребёнок сидит в шариковом бассейне внутри игрового зала на яркой горке; вокруг много разноцветных шариков, видны цветные стены и ограждение.",зафиксировать момент игры ребенка в шариковом бассейне в игровом зале,False
"https://sun9-28.userapi.com/s/v1/ig2/bpBu-xmyW97FfcphokYh3FW9zgfQAguKhcLQdjFRrAzk3n8ACEcPfdQIICJ6CmKLle-e37WmRiIeNeerrymMJW-S.jpg?quality=95&as=32x46,48x69,72x104,108x156,160x231,240x347,360x520,480x693,540x780,640x925,720x1040,1080x1560,1280x1849,1440x2080,1772x2560&from=bu&cs=1772x0","Двое людей в одинаковых черных футболках стоят рядом перед светлой стеной, улыбаясь; мужчина справа поднимает большой палец.",показать одежду,False
"https://sun9-7.userapi.com/s/v1/if1/ohxG3-lR9Xq5VoVeMBsAGa0yskUIzD5aBRRHoq2xdd_KxwggTdOle1RYS29uDRfSvMErAA.jpg?quality=96&as=32x18,48x27,72x41,108x61,160x90,240x135,360x203,480x270,540x304,640x360,720x405,1080x608,1265x712&from=bu&cs=1265x0",Маленькая девочка с розовой лентой в волосах держит щёки руками и улыбается в яркой игровой зоне; вокруг красочно‑цветные пластиковые элементы и стены.,показать ребёнка в игровой зоне,False
"https://sun9-49.userapi.com/s/v1/ig1/35XJ-B0w67nradVQpdQ2uQZA8ztw2agC-YT3QOyIx4MgfBKNanWAO-i7OdbotM3XK7LOU0e7.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,959x959&from=bu&cs=959x0","Белый детский комбинезон-боди с капюшоном, разложен на белом фоне. Видны рисунки и текст на ткани, присутствует водяной знак Mama_show_room.",показать одежду,False
"https://sun9-37.userapi.com/s/v1/ig1/nraF09sMTRE2asF37hqdNiwmm6x8XzEbnkF_BNFCah3TbMpqFNtwIG42xALsi8q4XCfL5Lf_.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1230x1230&from=bu&cs=1230x0","Крупный план ногтей на пальцах руки с маникюром, на фоне видны надписи «РАБОТА УЧЕНИЦЫ» и «WHITE_ROSE_STUDIO_PERM»",показать маникюр и работу ученицы,False
"https://sun9-74.userapi.com/s/v1/ig2/7bLDUrx1VYyADdw4svtemdW0xNBr1J3Yp4y-ZGuqvwbpPqa6jhN8JmMCH3j3JaMpa1g9G5TGV8XPBVf2tkOS23Zd.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&cs=1920x0","Улица рынка в городе: лавки и столики под зонтиками вдоль тротуара, красные фонари над головами; люди сидят и прогуливаются.",показать уличный рынок,False
"https://sun9-80.userapi.com/s/v1/ig1/u7Iy-JH51Nw9yC0tO9RwaLAsmtS_wofMw3v-P_Dnvs6ioKQPf36cwzexFMV6CdtCZuUSdNWG.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640&from=bu&cs=480x0","На столе лежат несколько прямоугольных коричневых тортов на белых подносах; в фоне диван с подушками и игрушками. Видна рука, держащая кусочек торта слева.",показать выпечку,False
"https://sun9-21.userapi.com/s/v1/ig2/13-5ajR4MvT3sBD5jyZA2RdzU3Qt9OT7Tic5qggX5Oi7U0FKT69atvHBuzhV-lJ_kDJEOgqJFpQKyGGKX3xuuIaR.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x321,360x481,480x642,540x722,640x855,720x962,1080x1444,1197x1600&from=bu&cs=1197x0","Женщина крупным планом, смотрит в камеру с широко открытыми глазами; фон — кирпичная стена и стопка тарелок.",сделать селфи,False
"https://sun9-38.userapi.com/s/v1/if2/WNlbeF5BG8NNG_whK3Urr7mzvuW973hM3LuigoIjbN1th4kY5p_s3Y2qHAFiOgBAbHiLwDuSFS1MIxg7nJsjhjDe.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Узкая городская улица между кирпичными зданиями; над ней висят красные подвесные фонари; слева и справа красная мебель (скамейки и столики); мокрая поверхность улицы, витрины магазинов слева/справа.",показать городскую улицу с декоративной подсветкой,False
"https://sun9-84.userapi.com/s/v1/ig2/JpRsTtUJWvX6-da0p189P_g41g8ZZSWZPKOb7etqS9woHHvp-PSpsoBqfVc2D6EJeIF3W7qPeDbU1aIwJZyx04Qm.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0","Женщина в ярко-розовом платье позирует внутри помещения, на ней солнцезащитные очки и высокие ботфорты, рядом зеркало и дверь, свет из окна. Видна часть комнаты и декоративный элемент у стены.",показать одежду,False
"https://sun9-67.userapi.com/s/v1/if2/WUPtJPVyZ8nP6KmTah6Y2AoAN6JmjdTtF-gsf_owKMQhYLWzhhQdVSFPtvsDcxAsQ1RJr3BP6bR8CaPzhUf181JN.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0","Группа из пяти людей позирует внутри перед стеной с яркой розовой неоновой надписью 'VIRUS'. На стене фотографии/картины, пол виден в кадре.",показать группу людей перед неоновой надписью,False
"https://sun9-59.userapi.com/s/v1/ig2/WYB-ZZr89yYSUSHTHyziD1Ag1wxPiUqWoiA7Gkg6mTUsYMdwkPzI--58f7aP1OzBbSEDWo-bewm4QgMjo8ULGb-Q.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0","Две женщины позируют на улице на фоне жилых домов. Слева в черной глянцевой куртке и розовых лосинах, справа — в белом пуховом пальто и черных брюках. Обе смотрят в сторону камеры; на левой ноге у одной видна татуировка. Городской сценический кадр с уличным фоном.",показать одежду,False
"https://sun9-30.userapi.com/s/v1/if1/OTKKSnNPPTXaaboiuSsqumQ-mxbQAJaQlM5CSqKIRdtErvLlCjVv1vmHnmaHuki0scGxVw.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,960x720&from=bu&cs=960x0","Крупный план стоп с педикюром: пальцы ног видны, ногти окрашены; на больших пальцах темный лак",показать педикюр на стопах крупным планом,False
"https://sun9-40.userapi.com/s/v1/ig2/mqjVVan9CSe5f_FQVSdgTeyjyQXfuWr-L1cPe7_RL3rc0wGoYT9Sd7joDZjH7DwXIwkOQ-xlzi-4TqmRPHNHlaxv.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1398x1864&from=bu&cs=1398x0",Женщина в фиолетовой куртке и белых шортах стоит в помещении перед светлой стеной; слева декоративное растение в горшке на маленьком столике.,показать одежду,False
"https://sun9-29.userapi.com/s/v1/ig1/ScbVrTa-aBKUayrqmI1K2LoxZw9HdEjz2sZcxFA20nGHCowv9jQTXSkMFUZtC2R4RwCnqJ3n.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1002x1338&from=bu&cs=1002x0","Человек в оранжевом верхе держит большой фартук с рисунками, стоит в интерьере перед тёмной кирпичной стеной. Рядом стол с свечами и красные кресла.","портрет человека в интерьере, держит фартук с рисунками",False
