image_url,photo_id,user_id,date_human,annotation_text_description,annotation_user_intent,annotation_has_building
"https://sun9-37.userapi.com/s/v1/ig1/nraF09sMTRE2asF37hqdNiwmm6x8XzEbnkF_BNFCah3TbMpqFNtwIG42xALsi8q4XCfL5Lf_.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1230x1230&from=bu&cs=1230x0",456326804,-121133864,2019-01-26 15:45:18,"Крупный план ногтей на пальцах руки с маникюром, на фоне видны надписи «РАБОТА УЧЕНИЦЫ» и «WHITE_ROSE_STUDIO_PERM»",показать маникюр и работу ученицы,False
"https://sun9-80.userapi.com/s/v1/ig1/u7Iy-JH51Nw9yC0tO9RwaLAsmtS_wofMw3v-P_Dnvs6ioKQPf36cwzexFMV6CdtCZuUSdNWG.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640&from=bu&cs=480x0",456239661,-46008634,2017-10-10 12:12:05,"На столе лежат несколько прямоугольных коричневых тортов на белых подносах; в фоне диван с подушками и игрушками. Видна рука, держащая кусочек торта слева.",показать выпечку,False
"https://sun9-38.userapi.com/s/v1/if2/WNlbeF5BG8NNG_whK3Urr7mzvuW973hM3LuigoIjbN1th4kY5p_s3Y2qHAFiOgBAbHiLwDuSFS1MIxg7nJsjhjDe.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",457316349,222199696,2022-10-28 12:22:25,"Узкая городская улица между кирпичными зданиями; над ней висят красные подвесные фонари; слева и справа красная мебель (скамейки и столики); мокрая поверхность улицы, витрины магазинов слева/справа.",показать городскую улицу с декоративной подсветкой,True
"https://sun9-67.userapi.com/s/v1/if2/WUPtJPVyZ8nP6KmTah6Y2AoAN6JmjdTtF-gsf_owKMQhYLWzhhQdVSFPtvsDcxAsQ1RJr3BP6bR8CaPzhUf181JN.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960,1440x1080,2560x1920&from=bu&cs=2560x0",457240121,-199296109,2023-02-06 08:43:19,"Группа из пяти людей позирует внутри перед стеной с яркой розовой неоновой надписью 'VIRUS'. На стене фотографии/картины, пол виден в кадре.",показать группу людей перед неоновой надписью,False
"https://sun9-59.userapi.com/s/v1/ig2/WYB-ZZr89yYSUSHTHyziD1Ag1wxPiUqWoiA7Gkg6mTUsYMdwkPzI--58f7aP1OzBbSEDWo-bewm4QgMjo8ULGb-Q.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0",457250999,261660768,2020-10-16 20:11:21,"Две женщины позируют на улице на фоне жилых домов. Слева в черной глянцевой куртке и розовых лосинах, справа — в белом пуховом пальто и черных брюках. Обе смотрят в сторону камеры; на левой ноге у одной видна татуировка. Городской сценический кадр с уличным фоном.",показать одежду,True
"https://sun9-74.userapi.com/s/v1/ig2/hbju1fFx_BoGbrq-HMHi3TUy4686UwAmLsUNwh3IEBbonWWvFJspzGu6hvI8DJZTGQlzhghJwwESylQcpxcFSple.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&cs=1620x0",457240098,-199296109,2022-11-21 13:44:34,"VR-шлем на стойке с монитором в помещении; кабели свисают к полу, на стене много маленьких фото; деревянный пол.",показать товар,False
"https://sun9-60.userapi.com/s/v1/ig1/Y_JTif6q18RNp-KQuYwqj7s0Y4zAIaY9FtBY_vZOpR4CKyRi9Ib6Uj4iEBEKqquTffvm5W7t.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,960x960&from=bu&cs=960x0",397101108,6663076,2016-01-09 20:08:02,"Три женщины на селфи, крупным планом улыбаются, фон темный, внутри помещения",сделать селфи,False
"https://sun9-59.userapi.com/s/v1/ig2/T_kig5rsakH1ENqiX1oSz5rvqm5b0bQWYqIQUsE7Gr3XuR2sSREGO7MBxzaWSLIzh-5qswU2IhwSYXGM3KYw2VZG.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1560x1560&from=bu&cs=1560x0",457261215,91875183,2024-05-19 19:20:45,Интерьер: на переднем плане несколько стопок толстых переплетённых книг с надписью TORAH; слева частично виден музыкальный инструмент; на фоне окно с растениями.,показать интерьер с книжной коллекцией,False
"https://sun9-1.userapi.com/s/v1/ig1/_19WV_Ge_ofqXhsBDlnjrGjmN_EnbSg0CeADiCBwS9suZDFiUbWdrDpjDV_w-Yb7pZGR-qkF.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1499x1499&from=bu&cs=1499x0",456239343,-124299091,2019-01-23 16:20:15,"Крупный план руки с маникюром: ногти тёпло-розового и золотистого градиента, блестящее покрытие; на изображении белый текст «РАБОТА УЧЕНИЦЫ» и «WHITE ROSE STUDIO PERM»",показать маникюр как услугу,False
"https://sun9-82.userapi.com/s/v1/ig2/swNZAfPhlA3bNNIrYwliEXx29UVm53e-_6x0YDGlTExuqVHW8vViYUyakrHcIU2o3wFOGp_ET9YXq37KAxcz7Vba.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1200x1600&from=bu&cs=1200x0",457243296,-46008634,2021-04-14 08:55:45,"Страница документа с таблицами и печатями, лежащая на поверхности стола",показать документ,False
